date_time,site,variable,value
2022-04-07T11:00:00Z,Kalauhaihai,pH,7.19
2022-04-07T11:10:00Z,Kalauhaihai,temp_celsius,23.12
2022-04-07T11:10:00Z,Kalauhaihai,mv,-20.23
2022-04-07T11:10:00Z,Kalauhaihai,pH,7.19
2022-04-07T11:20:00Z,Kalauhaihai,temp_celsius,23.08
2022-04-07T11:20:00Z,Kalauhaihai,mv,-20.09
2022-04-07T11:20:00Z,Kalauhaihai,pH,7.19
2022-04-07T11:30:00Z,Kalauhaihai,temp_celsius,23.05
2022-04-07T11:30:00Z,Kalauhaihai,mv,-20.14
2022-04-07T11:30:00Z,Kalauhaihai,pH,7.19
2022-04-07T11:40:00Z,Kalauhaihai,temp_celsius,23.03
2022-04-07T11:40:00Z,Kalauhaihai,mv,-20.13
2022-04-07T11:40:00Z,Kalauhaihai,pH,7.19
2022-04-07T11:50:00Z,Kalauhaihai,temp_celsius,23
2022-04-07T11:50:00Z,Kalauhaihai,mv,-20.11
2022-04-07T11:50:00Z,Kalauhaihai,pH,7.19
2022-04-07T12:00:00Z,Kalauhaihai,temp_celsius,22.98
2022-04-07T12:00:00Z,Kalauhaihai,mv,-20.13
2022-04-07T12:00:00Z,Kalauhaihai,pH,7.19
2022-04-07T12:10:00Z,Kalauhaihai,temp_celsius,22.96
2022-04-07T12:10:00Z,Kalauhaihai,mv,-20.16
2022-04-07T12:10:00Z,Kalauhaihai,pH,7.19
2022-04-07T12:20:00Z,Kalauhaihai,temp_celsius,22.96
2022-04-07T12:20:00Z,Kalauhaihai,mv,-20.14
2022-04-07T12:20:00Z,Kalauhaihai,pH,7.19
2022-04-07T12:30:00Z,Kalauhaihai,temp_celsius,22.93
2022-04-07T12:30:00Z,Kalauhaihai,mv,-20.14
2022-04-07T12:30:00Z,Kalauhaihai,pH,7.19
2022-04-07T12:40:00Z,Kalauhaihai,temp_celsius,22.93
2022-04-07T12:40:00Z,Kalauhaihai,mv,-20.14
2022-04-07T12:40:00Z,Kalauhaihai,pH,7.19
2022-04-07T12:50:00Z,Kalauhaihai,temp_celsius,22.91
2022-04-07T12:50:00Z,Kalauhaihai,mv,-20.19
2022-04-07T12:50:00Z,Kalauhaihai,pH,7.19
2022-04-07T13:00:00Z,Kalauhaihai,temp_celsius,22.91
2022-04-07T13:00:00Z,Kalauhaihai,mv,-20.2
2022-04-07T13:00:00Z,Kalauhaihai,pH,7.19
2022-04-07T13:10:00Z,Kalauhaihai,temp_celsius,22.91
