"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/02/06","10:30","0.537","-","0.62"
"2023/02/06","10:36","0.582","-","0.66"
"2023/02/06","10:42","0.628","-","0.73"
"2023/02/06","10:48","0.674","-","0.77"
"2023/02/06","10:54","0.721","-","0.8"
"2023/02/06","11:00","0.768","-","0.87"
"2023/02/06","11:06","0.815","-","0.93"
"2023/02/06","11:12","0.863","-","0.98"
"2023/02/06","11:18","0.911","-","1.02"
"2023/02/06","11:24","0.958","-","1.11"
"2023/02/06","11:30","1.006","-","1.15"
"2023/02/06","11:36","1.053","-","1.21"
"2023/02/06","11:42","1.1","-","1.26"
"2023/02/06","11:48","1.147","-","1.28"
"2023/02/06","11:54","1.193","-","1.35"
"2023/02/06","12:00","1.238","-","1.4"
"2023/02/06","12:06","1.283","-","1.45"
"2023/02/06","12:12","1.327","-","1.5"
"2023/02/06","12:18","1.37","-","1.52"
"2023/02/06","12:24","1.412","-","1.59"
"2023/02/06","12:30","1.453","-","1.62"
"2023/02/06","12:36","1.493","-","1.65"
"2023/02/06","12:42","1.532","-","1.71"
"2023/02/06","12:48","1.57","-","1.74"
"2023/02/06","12:54","1.606","-","1.76"
"2023/02/06","13:00","1.641","-","1.79"
"2023/02/06","13:06","1.675","-","1.82"
"2023/02/06","13:12","1.707","-","1.84"
"2023/02/06","13:18","1.737","-","1.88"
"2023/02/06","13:24","1.766","-","1.91"
"2023/02/06","13:30","1.793","-","1.92"
"2023/02/06","13:36","1.818","-","1.91"
"2023/02/06","13:42","1.841","-","1.94"
"2023/02/06","13:48","1.863","-","1.99"
"2023/02/06","13:54","1.882","-","1.98"
"2023/02/06","14:00","1.9","-","2.02"
"2023/02/06","14:06","1.915","-","2.03"
"2023/02/06","14:12","1.929","-","2.02"
"2023/02/06","14:18","1.94","-","2.02"
"2023/02/06","14:24","1.949","-","1.98"
"2023/02/06","14:30","1.956","-","2"
"2023/02/06","14:36","1.961","-","1.97"
"2023/02/06","14:42","1.964","-","1.97"
"2023/02/06","14:48","1.964","-","1.98"
"2023/02/06","14:54","1.963","-","1.96"
"2023/02/06","15:00","1.959","-","1.94"
"2023/02/06","15:06","1.952","-","1.94"
"2023/02/06","15:12","1.944","-","1.94"
"2023/02/06","15:18","1.934","-","1.88"
"2023/02/06","15:24","1.921","-","1.86"
"2023/02/06","15:30","1.906","-","1.89"
"2023/02/06","15:36","1.889","-","1.87"
"2023/02/06","15:42","1.87","-","1.82"
"2023/02/06","15:48","1.849","-","1.86"
"2023/02/06","15:54","1.826","-","1.8"
"2023/02/06","16:00","1.802","-","1.73"
"2023/02/06","16:06","1.775","-","1.76"
"2023/02/06","16:12","1.747","-","1.75"
"2023/02/06","16:18","1.717","-","1.71"
"2023/02/06","16:24","1.685","-","1.68"
"2023/02/06","16:30","1.652","-","1.7"
"2023/02/06","16:36","1.618","-","1.6"
"2023/02/06","16:42","1.582","-","1.56"
"2023/02/06","16:48","1.545","-","1.57"
"2023/02/06","16:54","1.507","-","1.49"
"2023/02/06","17:00","1.468","-","1.45"
"2023/02/06","17:06","1.428","-","1.41"
"2023/02/06","17:12","1.387","-","1.39"
"2023/02/06","17:18","1.346","-","1.32"
"2023/02/06","17:24","1.303","-","1.28"
"2023/02/06","17:30","1.26","-","1.27"
"2023/02/06","17:36","1.217","-","1.2"
"2023/02/06","17:42","1.174","-","1.18"
"2023/02/06","17:48","1.13","-","1.17"
"2023/02/06","17:54","1.086","-","1.11"
"2023/02/06","18:00","1.042","-","1.07"
"2023/02/06","18:06","0.998","-","1.05"
"2023/02/06","18:12","0.954","-","1.01"
"2023/02/06","18:18","0.91","-","0.95"
"2023/02/06","18:24","0.866","-","0.92"
"2023/02/06","18:30","0.823","-","0.89"
"2023/02/06","18:36","0.781","-","0.85"
"2023/02/06","18:42","0.739","-","0.82"
"2023/02/06","18:48","0.697","-","0.76"
"2023/02/06","18:54","0.656","-","0.77"
"2023/02/06","19:00","0.616","-","0.7"
"2023/02/06","19:06","0.577","-","0.66"
"2023/02/06","19:12","0.539","-","0.61"
"2023/02/06","19:18","0.502","-","0.61"
"2023/02/06","19:24","0.465","-","0.57"
"2023/02/06","19:30","0.43","-","0.52"
"2023/02/06","19:36","0.396","-","0.55"
"2023/02/06","19:42","0.363","-","0.51"
"2023/02/06","19:48","0.332","-","0.45"
"2023/02/06","19:54","0.302","-","0.44"
"2023/02/06","20:00","0.273","-","0.42"
"2023/02/06","20:06","0.246","-","0.36"
"2023/02/06","20:12","0.22","-","0.35"
"2023/02/06","20:18","0.195","-","0.38"
"2023/02/06","20:24","0.173","-","0.35"
"2023/02/06","20:30","0.152","-","0.29"
"2023/02/06","20:36","0.132","-","0.31"
"2023/02/06","20:42","0.115","-","0.29"
"2023/02/06","20:48","0.098","-","0.27"
"2023/02/06","20:54","0.084","-","0.22"
"2023/02/06","21:00","0.072","-","0.22"
"2023/02/06","21:06","0.061","-","0.24"
"2023/02/06","21:12","0.052","-","0.24"
"2023/02/06","21:18","0.044","-","0.24"
"2023/02/06","21:24","0.039","-","0.23"
"2023/02/06","21:30","0.035","-","0.23"
"2023/02/06","21:36","0.033","-","0.22"
"2023/02/06","21:42","0.032","-","0.2"
"2023/02/06","21:48","0.033","-","0.21"
"2023/02/06","21:54","0.036","-","0.19"
"2023/02/06","22:00","0.041","-","0.2"
"2023/02/06","22:06","0.047","-","0.22"
"2023/02/06","22:12","0.054","-","0.2"
"2023/02/06","22:18","0.063","-","0.24"
"2023/02/06","22:24","0.073","-","0.21"
"2023/02/06","22:30","0.085","-","0.26"
"2023/02/06","22:36","0.098","-","0.23"
"2023/02/06","22:42","0.112","-","0.28"
"2023/02/06","22:48","0.127","-","0.28"
"2023/02/06","22:54","0.143","-","0.28"
"2023/02/06","23:00","0.16","-","0.3"
"2023/02/06","23:06","0.178","-","0.33"
"2023/02/06","23:12","0.197","-","0.31"
"2023/02/06","23:18","0.216","-","0.31"
"2023/02/06","23:24","0.236","-","0.34"
"2023/02/06","23:30","0.257","-","0.36"
"2023/02/06","23:36","0.278","-","0.32"
"2023/02/06","23:42","0.299","-","0.36"
"2023/02/06","23:48","0.321","-","0.41"
"2023/02/06","23:54","0.342","-","0.42"
"2023/02/07","00:00","0.364","-","0.45"
"2023/02/07","00:06","0.386","-","0.48"
"2023/02/07","00:12","0.408","-","0.45"
"2023/02/07","00:18","0.43","-","0.5"
"2023/02/07","00:24","0.452","-","0.55"
"2023/02/07","00:30","0.474","-","0.55"
"2023/02/07","00:36","0.495","-","0.57"
"2023/02/07","00:42","0.516","-","0.57"
"2023/02/07","00:48","0.536","-","0.62"
"2023/02/07","00:54","0.556","-","0.62"
"2023/02/07","01:00","0.575","-","0.62"
"2023/02/07","01:06","0.594","-","0.65"
"2023/02/07","01:12","0.612","-","0.69"
"2023/02/07","01:18","0.629","-","0.69"
"2023/02/07","01:24","0.646","-","0.7"
"2023/02/07","01:30","0.661","-","0.75"
"2023/02/07","01:36","0.676","-","0.74"
"2023/02/07","01:42","0.69","-","0.73"
"2023/02/07","01:48","0.703","-","0.77"
"2023/02/07","01:54","0.715","-","0.78"
"2023/02/07","02:00","0.726","-","0.79"
"2023/02/07","02:06","0.735","-","0.79"
"2023/02/07","02:12","0.744","-","0.83"
"2023/02/07","02:18","0.751","-","0.82"
"2023/02/07","02:24","0.757","-","0.81"
"2023/02/07","02:30","0.762","-","0.82"
"2023/02/07","02:36","0.766","-","0.85"
"2023/02/07","02:42","0.768","-","0.83"
"2023/02/07","02:48","0.769","-","0.78"
"2023/02/07","02:54","0.769","-","0.82"
"2023/02/07","03:00","0.767","-","0.81"
"2023/02/07","03:06","0.764","-","0.77"
"2023/02/07","03:12","0.76","-","0.74"
"2023/02/07","03:18","0.754","-","0.76"
"2023/02/07","03:24","0.747","-","0.76"
"2023/02/07","03:30","0.739","-","0.74"
"2023/02/07","03:36","0.729","-","0.72"
"2023/02/07","03:42","0.718","-","0.74"
"2023/02/07","03:48","0.706","-","0.68"
"2023/02/07","03:54","0.692","-","0.64"
"2023/02/07","04:00","0.677","-","0.66"
"2023/02/07","04:06","0.662","-","0.64"
"2023/02/07","04:12","0.645","-","0.61"
"2023/02/07","04:18","0.627","-","0.6"
"2023/02/07","04:24","0.608","-","0.6"
"2023/02/07","04:30","0.588","-","0.55"
"2023/02/07","04:36","0.567","-","0.51"
"2023/02/07","04:42","0.545","-","0.48"
"2023/02/07","04:48","0.523","-","0.47"
"2023/02/07","04:54","0.5","-","0.44"
"2023/02/07","05:00","0.476","-","0.42"
"2023/02/07","05:06","0.452","-","0.4"
"2023/02/07","05:12","0.428","-","0.36"
"2023/02/07","05:18","0.403","-","0.35"
"2023/02/07","05:24","0.378","-","0.32"
"2023/02/07","05:30","0.353","-","0.31"
"2023/02/07","05:36","0.328","-","0.3"
"2023/02/07","05:42","0.303","-","0.29"
"2023/02/07","05:48","0.278","-","0.28"
"2023/02/07","05:54","0.253","-","0.26"
"2023/02/07","06:00","0.229","-","0.19"
"2023/02/07","06:06","0.204","-","0.22"
"2023/02/07","06:12","0.181","-","0.2"
"2023/02/07","06:18","0.158","-","0.18"
"2023/02/07","06:24","0.135","-","0.19"
"2023/02/07","06:30","0.113","-","0.17"
"2023/02/07","06:36","0.092","-","0.15"
"2023/02/07","06:42","0.072","-","0.14"
"2023/02/07","06:48","0.052","-","0.13"
"2023/02/07","06:54","0.034","-","0.07"
"2023/02/07","07:00","0.016","-","0.09"
"2023/02/07","07:06","0","-","0.09"
"2023/02/07","07:12","-0.016","-","0.07"
"2023/02/07","07:18","-0.03","-","0.08"
"2023/02/07","07:24","-0.043","-","0.06"
"2023/02/07","07:30","-0.054","-","0.05"
"2023/02/07","07:36","-0.064","-","0.04"
"2023/02/07","07:42","-0.073","-","0.03"
"2023/02/07","07:48","-0.081","-","0.02"
"2023/02/07","07:54","-0.087","-","0.02"
"2023/02/07","08:00","-0.091","-","0.04"
"2023/02/07","08:06","-0.094","-","0.04"
"2023/02/07","08:12","-0.095","-","0.02"
"2023/02/07","08:18","-0.095","-","0.03"
"2023/02/07","08:24","-0.093","-","0.06"
"2023/02/07","08:30","-0.089","-","0.02"
"2023/02/07","08:36","-0.084","-","0.05"
"2023/02/07","08:42","-0.077","-","0.06"
"2023/02/07","08:48","-0.068","-","0.06"
"2023/02/07","08:54","-0.057","-","0.09"
"2023/02/07","09:00","-0.045","-","0.12"
"2023/02/07","09:06","-0.031","-","0.1"
"2023/02/07","09:12","-0.015","-","0.12"
"2023/02/07","09:18","0.003","-","0.23"
"2023/02/07","09:24","0.022","-","0.21"
"2023/02/07","09:30","0.044","-","0.15"
"2023/02/07","09:36","0.066","-","0.21"
"2023/02/07","09:42","0.091","-","0.29"
"2023/02/07","09:48","0.117","-","0.26"
"2023/02/07","09:54","0.145","-","0.3"
"2023/02/07","10:00","0.175","-","0.33"
"2023/02/07","10:06","0.206","-","0.37"
"2023/02/07","10:12","0.239","-","0.39"
"2023/02/07","10:18","0.273","-","0.44"
"2023/02/07","10:24","0.308","-","0.49"
"2023/02/07","10:30","0.345","-","0.51"
"2023/02/07","10:36","0.383","-","0.58"
"2023/02/07","10:42","0.422","-","0.6"
"2023/02/07","10:48","0.462","-","0.63"
"2023/02/07","10:54","0.503","-","0.65"
"2023/02/07","11:00","0.545","-","0.74"
"2023/02/07","11:06","0.588","-","0.78"
"2023/02/07","11:12","0.632","-","0.83"
"2023/02/07","11:18","0.676","-","0.87"
"2023/02/07","11:24","0.721","-","0.9"
"2023/02/07","11:30","0.766","-","0.94"
"2023/02/07","11:36","0.811","-","1"
"2023/02/07","11:42","0.857","-","1.03"
"2023/02/07","11:48","0.902","-","1.08"
"2023/02/07","11:54","0.948","-","1.16"
"2023/02/07","12:00","0.993","-","1.21"
"2023/02/07","12:06","1.039","-","1.25"
"2023/02/07","12:12","1.084","-","1.28"
"2023/02/07","12:18","1.128","-","1.32"
"2023/02/07","12:24","1.172","-","1.35"
"2023/02/07","12:30","1.215","-","1.39"
"2023/02/07","12:36","1.258","-","1.45"
"2023/02/07","12:42","1.3","-","1.51"
"2023/02/07","12:48","1.341","-","1.56"
"2023/02/07","12:54","1.381","-","1.58"
"2023/02/07","13:00","1.42","-","1.61"
"2023/02/07","13:06","1.458","-","1.65"
"2023/02/07","13:12","1.495","-","1.69"
"2023/02/07","13:18","1.53","-","1.75"
"2023/02/07","13:24","1.564","-","1.77"
"2023/02/07","13:30","1.597","-","1.84"
"2023/02/07","13:36","1.628","-","1.84"
"2023/02/07","13:42","1.658","-","1.84"
"2023/02/07","13:48","1.686","-","1.89"
"2023/02/07","13:54","1.712","-","1.88"
"2023/02/07","14:00","1.737","-","1.93"
"2023/02/07","14:06","1.76","-","1.96"
"2023/02/07","14:12","1.781","-","1.98"
"2023/02/07","14:18","1.8","-","2"
"2023/02/07","14:24","1.818","-","2.02"
"2023/02/07","14:30","1.833","-","2.01"
"2023/02/07","14:36","1.847","-","2.01"
"2023/02/07","14:42","1.858","-","1.99"
"2023/02/07","14:48","1.868","-","2.05"
"2023/02/07","14:54","1.875","-","2.06"
"2023/02/07","15:00","1.881","-","2.02"
"2023/02/07","15:06","1.884","-","2.06"
"2023/02/07","15:12","1.885","-","2.03"
"2023/02/07","15:18","1.885","-","1.98"
"2023/02/07","15:24","1.882","-","1.98"
"2023/02/07","15:30","1.877","-","1.99"
"2023/02/07","15:36","1.869","-","1.97"
"2023/02/07","15:42","1.86","-","1.96"
"2023/02/07","15:48","1.849","-","1.94"
"2023/02/07","15:54","1.836","-","1.94"
"2023/02/07","16:00","1.82","-","1.87"
"2023/02/07","16:06","1.803","-","1.86"
"2023/02/07","16:12","1.783","-","1.88"
"2023/02/07","16:18","1.762","-","1.86"
"2023/02/07","16:24","1.739","-","1.76"
"2023/02/07","16:30","1.714","-","1.78"
"2023/02/07","16:36","1.688","-","1.79"
"2023/02/07","16:42","1.659","-","1.7"
"2023/02/07","16:48","1.63","-","1.66"
"2023/02/07","16:54","1.598","-","1.68"
"2023/02/07","17:00","1.565","-","1.61"
"2023/02/07","17:06","1.531","-","1.56"
"2023/02/07","17:12","1.496","-","1.55"
"2023/02/07","17:18","1.459","-","1.51"
"2023/02/07","17:24","1.421","-","1.45"
"2023/02/07","17:30","1.383","-","1.46"
"2023/02/07","17:36","1.343","-","1.45"
"2023/02/07","17:42","1.303","-","1.32"
"2023/02/07","17:48","1.262","-","1.3"
"2023/02/07","17:54","1.22","-","1.31"
"2023/02/07","18:00","1.178","-","1.21"
"2023/02/07","18:06","1.136","-","1.17"
"2023/02/07","18:12","1.093","-","1.21"
"2023/02/07","18:18","1.05","-","1.16"
"2023/02/07","18:24","1.007","-","1.05"
"2023/02/07","18:30","0.964","-","1.06"
"2023/02/07","18:36","0.921","-","1.02"
"2023/02/07","18:42","0.878","-","0.95"
"2023/02/07","18:48","0.836","-","0.89"
"2023/02/07","18:54","0.794","-","0.89"
"2023/02/07","19:00","0.752","-","0.88"
"2023/02/07","19:06","0.711","-","0.79"
"2023/02/07","19:12","0.67","-","0.81"
"2023/02/07","19:18","0.631","-","0.77"
"2023/02/07","19:24","0.591","-","0.7"
"2023/02/07","19:30","0.553","-","0.64"
"2023/02/07","19:36","0.516","-","0.64"
"2023/02/07","19:42","0.479","-","0.61"
"2023/02/07","19:48","0.444","-","0.57"
"2023/02/07","19:54","0.409","-","0.57"
"2023/02/07","20:00","0.376","-","0.53"
"2023/02/07","20:06","0.344","-","0.49"
"2023/02/07","20:12","0.313","-","0.46"
"2023/02/07","20:18","0.284","-","0.43"
"2023/02/07","20:24","0.256","-","0.43"
"2023/02/07","20:30","0.229","-","0.4"
"2023/02/07","20:36","0.204","-","0.38"
"2023/02/07","20:42","0.18","-","0.35"
"2023/02/07","20:48","0.158","-","0.29"
"2023/02/07","20:54","0.137","-","0.28"
"2023/02/07","21:00","0.118","-","0.27"
"2023/02/07","21:06","0.1","-","0.22"
"2023/02/07","21:12","0.084","-","0.22"
"2023/02/07","21:18","0.07","-","0.19"
"2023/02/07","21:24","0.058","-","0.19"
"2023/02/07","21:30","0.047","-","0.18"
"2023/02/07","21:36","0.038","-","0.13"
"2023/02/07","21:42","0.031","-","0.11"
"2023/02/07","21:48","0.025","-","0.12"
"2023/02/07","21:54","0.021","-","0.11"
"2023/02/07","22:00","0.019","-","0.12"
"2023/02/07","22:06","0.019","-","0.11"
"2023/02/07","22:12","0.02","-","0.13"
"2023/02/07","22:18","0.023","-","0.1"
"2023/02/07","22:24","0.027","-","0.1"
"2023/02/07","22:30","0.033","-","0.12"
"2023/02/07","22:36","0.041","-","0.1"
"2023/02/07","22:42","0.05","-","0.11"
"2023/02/07","22:48","0.061","-","0.14"
"2023/02/07","22:54","0.073","-","0.16"
"2023/02/07","23:00","0.087","-","0.17"
"2023/02/07","23:06","0.101","-","0.18"
"2023/02/07","23:12","0.117","-","0.19"
"2023/02/07","23:18","0.134","-","0.2"
"2023/02/07","23:24","0.152","-","0.19"
"2023/02/07","23:30","0.171","-","0.24"
"2023/02/07","23:36","0.191","-","0.22"
"2023/02/07","23:42","0.212","-","0.23"
"2023/02/07","23:48","0.234","-","0.27"
"2023/02/07","23:54","0.256","-","0.28"
"2023/02/08","00:00","0.279","-","0.29"
"2023/02/08","00:06","0.302","-","0.31"
"2023/02/08","00:12","0.325","-","0.35"
"2023/02/08","00:18","0.349","-","0.34"
"2023/02/08","00:24","0.373","-","0.36"
"2023/02/08","00:30","0.397","-","0.4"
"2023/02/08","00:36","0.422","-","0.43"
"2023/02/08","00:42","0.446","-","0.46"
"2023/02/08","00:48","0.47","-","0.48"
"2023/02/08","00:54","0.494","-","0.5"
"2023/02/08","01:00","0.517","-","0.53"
"2023/02/08","01:06","0.54","-","0.56"
"2023/02/08","01:12","0.563","-","0.59"
"2023/02/08","01:18","0.585","-","0.63"
"2023/02/08","01:24","0.607","-","0.67"
"2023/02/08","01:30","0.628","-","0.69"
"2023/02/08","01:36","0.649","-","0.72"
"2023/02/08","01:42","0.668","-","0.75"
"2023/02/08","01:48","0.687","-","0.79"
"2023/02/08","01:54","0.705","-","0.8"
"2023/02/08","02:00","0.723","-","0.82"
"2023/02/08","02:06","0.739","-","0.83"
"2023/02/08","02:12","0.754","-","0.86"
"2023/02/08","02:18","0.769","-","0.87"
"2023/02/08","02:24","0.782","-","0.87"
"2023/02/08","02:30","0.794","-","0.86"
"2023/02/08","02:36","0.805","-","0.9"
"2023/02/08","02:42","0.815","-","0.9"
"2023/02/08","02:48","0.824","-","0.9"
"2023/02/08","02:54","0.831","-","0.91"
"2023/02/08","03:00","0.838","-","0.89"
"2023/02/08","03:06","0.843","-","0.89"
"2023/02/08","03:12","0.847","-","0.89"
"2023/02/08","03:18","0.849","-","0.87"
"2023/02/08","03:24","0.85","-","0.87"
"2023/02/08","03:30","0.85","-","0.87"
"2023/02/08","03:36","0.849","-","0.88"
"2023/02/08","03:42","0.846","-","0.87"
"2023/02/08","03:48","0.842","-","0.83"
"2023/02/08","03:54","0.837","-","0.8"
"2023/02/08","04:00","0.83","-","0.81"
"2023/02/08","04:06","0.822","-","0.8"
"2023/02/08","04:12","0.813","-","0.77"
"2023/02/08","04:18","0.802","-","0.78"
"2023/02/08","04:24","0.791","-","0.77"
"2023/02/08","04:30","0.778","-","0.72"
"2023/02/08","04:36","0.764","-","0.68"
"2023/02/08","04:42","0.748","-","0.69"
"2023/02/08","04:48","0.732","-","0.67"
"2023/02/08","04:54","0.715","-","0.64"
"2023/02/08","05:00","0.697","-","0.66"
"2023/02/08","05:06","0.677","-","0.67"
"2023/02/08","05:12","0.657","-","0.64"
"2023/02/08","05:18","0.637","-","0.58"
"2023/02/08","05:24","0.615","-","0.62"
"2023/02/08","05:30","0.593","-","0.58"
"2023/02/08","05:36","0.571","-","0.58"
"2023/02/08","05:42","0.547","-","0.56"
"2023/02/08","05:48","0.524","-","0.55"
"2023/02/08","05:54","0.5","-","0.54"
"2023/02/08","06:00","0.476","-","0.5"
"2023/02/08","06:06","0.452","-","0.49"
"2023/02/08","06:12","0.428","-","0.44"
"2023/02/08","06:18","0.404","-","0.42"
"2023/02/08","06:24","0.379","-","0.41"
"2023/02/08","06:30","0.356","-","0.36"
"2023/02/08","06:36","0.332","-","0.36"
"2023/02/08","06:42","0.309","-","0.32"
"2023/02/08","06:48","0.286","-","0.28"
"2023/02/08","06:54","0.264","-","0.24"
"2023/02/08","07:00","0.242","-","0.22"
"2023/02/08","07:06","0.221","-","0.23"
"2023/02/08","07:12","0.201","-","0.18"
"2023/02/08","07:18","0.181","-","0.18"
"2023/02/08","07:24","0.162","-","0.14"
"2023/02/08","07:30","0.145","-","0.12"
"2023/02/08","07:36","0.128","-","0.11"
"2023/02/08","07:42","0.112","-","0.1"
"2023/02/08","07:48","0.098","-","0.09"
"2023/02/08","07:54","0.084","-","0.08"
"2023/02/08","08:00","0.072","-","0.08"
"2023/02/08","08:06","0.061","-","0.06"
"2023/02/08","08:12","0.051","-","0.06"
"2023/02/08","08:18","0.042","-","0.03"
"2023/02/08","08:24","0.035","-","0.03"
"2023/02/08","08:30","0.03","-","0.03"
"2023/02/08","08:36","0.025","-","0.03"
"2023/02/08","08:42","0.022","-","0.01"
"2023/02/08","08:48","0.021","-","0.03"
"2023/02/08","08:54","0.021","-","0.03"
"2023/02/08","09:00","0.023","-","0.01"
"2023/02/08","09:06","0.026","-","0.05"
"2023/02/08","09:12","0.031","-","0.03"
"2023/02/08","09:18","0.037","-","0.04"
"2023/02/08","09:24","0.045","-","0.03"
"2023/02/08","09:30","0.055","-","0.05"
"2023/02/08","09:36","0.066","-","0.06"
"2023/02/08","09:42","0.079","-","0.1"
"2023/02/08","09:48","0.094","-","0.09"
"2023/02/08","09:54","0.11","-","0.11"
"2023/02/08","10:00","0.127","-","0.16"
"2023/02/08","10:06","0.147","-","0.18"
"2023/02/08","10:12","0.168","-","0.16"
"2023/02/08","10:18","0.19","-","0.2"
"2023/02/08","10:24","0.214","-","0.24"
"2023/02/08","10:30","0.24","-","0.25"
"2023/02/08","10:36","0.267","-","0.28"
"2023/02/08","10:42","0.295","-","0.33"
"2023/02/08","10:48","0.325","-","0.35"
"2023/02/08","10:54","0.356","-","0.41"
"2023/02/08","11:00","0.389","-","0.43"
"2023/02/08","11:06","0.422","-","0.46"
"2023/02/08","11:12","0.457","-","0.48"
"2023/02/08","11:18","0.493","-","0.54"
"2023/02/08","11:24","0.53","-","0.57"
"2023/02/08","11:30","0.567","-","0.63"
"2023/02/08","11:36","0.606","-","0.67"
"2023/02/08","11:42","0.645","-","0.69"
"2023/02/08","11:48","0.685","-","0.74"
"2023/02/08","11:54","0.725","-","0.77"
"2023/02/08","12:00","0.766","-","0.82"
"2023/02/08","12:06","0.807","-","0.84"
"2023/02/08","12:12","0.848","-","0.9"
"2023/02/08","12:18","0.89","-","0.95"
"2023/02/08","12:24","0.931","-","1"
"2023/02/08","12:30","0.973","-","1.03"
"2023/02/08","12:36","1.014","-","1.1"
"2023/02/08","12:42","1.055","-","1.16"
"2023/02/08","12:48","1.095","-","1.18"
"2023/02/08","12:54","1.135","-","1.21"
"2023/02/08","13:00","1.175","-","1.24"
"2023/02/08","13:06","1.214","-","1.29"
"2023/02/08","13:12","1.252","-","1.32"
"2023/02/08","13:18","1.289","-","1.37"
"2023/02/08","13:24","1.325","-","1.42"
"2023/02/08","13:30","1.361","-","1.46"
"2023/02/08","13:36","1.395","-","1.48"
"2023/02/08","13:42","1.428","-","1.53"
"2023/02/08","13:48","1.46","-","1.56"
"2023/02/08","13:54","1.49","-","1.57"
"2023/02/08","14:00","1.519","-","1.61"
"2023/02/08","14:06","1.547","-","1.67"
"2023/02/08","14:12","1.573","-","1.68"
"2023/02/08","14:18","1.598","-","1.74"
"2023/02/08","14:24","1.621","-","1.77"
"2023/02/08","14:30","1.643","-","1.79"
"2023/02/08","14:36","1.663","-","1.83"
"2023/02/08","14:42","1.681","-","1.82"
"2023/02/08","14:48","1.697","-","1.83"
"2023/02/08","14:54","1.712","-","1.83"
"2023/02/08","15:00","1.725","-","1.87"
"2023/02/08","15:06","1.735","-","1.86"
"2023/02/08","15:12","1.745","-","1.85"
"2023/02/08","15:18","1.752","-","1.83"
"2023/02/08","15:24","1.757","-","1.86"
"2023/02/08","15:30","1.761","-","1.85"
"2023/02/08","15:36","1.762","-","1.83"
"2023/02/08","15:42","1.762","-","1.8"
"2023/02/08","15:48","1.759","-","1.82"
"2023/02/08","15:54","1.755","-","1.81"
"2023/02/08","16:00","1.749","-","1.78"
"2023/02/08","16:06","1.741","-","1.76"
"2023/02/08","16:12","1.731","-","1.78"
"2023/02/08","16:18","1.719","-","1.75"
"2023/02/08","16:24","1.705","-","1.75"
"2023/02/08","16:30","1.689","-","1.7"
"2023/02/08","16:36","1.672","-","1.68"
"2023/02/08","16:42","1.652","-","1.67"
"2023/02/08","16:48","1.631","-","1.65"
"2023/02/08","16:54","1.609","-","1.61"
"2023/02/08","17:00","1.584","-","1.59"
"2023/02/08","17:06","1.558","-","1.58"
"2023/02/08","17:12","1.531","-","1.51"
"2023/02/08","17:18","1.502","-","1.51"
"2023/02/08","17:24","1.472","-","1.48"
"2023/02/08","17:30","1.44","-","1.44"
"2023/02/08","17:36","1.407","-","1.39"
"2023/02/08","17:42","1.373","-","1.37"
"2023/02/08","17:48","1.338","-","1.35"
"2023/02/08","17:54","1.302","-","1.32"
"2023/02/08","18:00","1.265","-","1.26"
"2023/02/08","18:06","1.227","-","1.24"
"2023/02/08","18:12","1.189","-","1.24"
"2023/02/08","18:18","1.149","-","1.2"
"2023/02/08","18:24","1.11","-","1.09"
"2023/02/08","18:30","1.07","-","1.06"
"2023/02/08","18:36","1.029","-","1.06"
"2023/02/08","18:42","0.989","-","1"
"2023/02/08","18:48","0.948","-","0.96"
"2023/02/08","18:54","0.907","-","0.92"
"2023/02/08","19:00","0.866","-","0.91"
"2023/02/08","19:06","0.826","-","0.86"
"2023/02/08","19:12","0.785","-","0.82"
"2023/02/08","19:18","0.745","-","0.77"
"2023/02/08","19:24","0.706","-","0.75"
"2023/02/08","19:30","0.667","-","0.71"
"2023/02/08","19:36","0.628","-","0.67"
"2023/02/08","19:42","0.59","-","0.63"
"2023/02/08","19:48","0.553","-","0.6"
"2023/02/08","19:54","0.517","-","0.58"
"2023/02/08","20:00","0.481","-","0.52"
"2023/02/08","20:06","0.446","-","0.52"
"2023/02/08","20:12","0.413","-","0.52"
"2023/02/08","20:18","0.38","-","0.44"
"2023/02/08","20:24","0.349","-","0.44"
"2023/02/08","20:30","0.318","-","0.43"
"2023/02/08","20:36","0.289","-","0.36"
"2023/02/08","20:42","0.261","-","0.37"
"2023/02/08","20:48","0.235","-","0.35"
"2023/02/08","20:54","0.209","-","0.31"
"2023/02/08","21:00","0.185","-","0.3"
"2023/02/08","21:06","0.163","-","0.28"
"2023/02/08","21:12","0.142","-","0.27"
"2023/02/08","21:18","0.122","-","0.24"
"2023/02/08","21:24","0.104","-","0.21"
"2023/02/08","21:30","0.088","-","0.18"
"2023/02/08","21:36","0.073","-","0.21"
"2023/02/08","21:42","0.059","-","0.19"
"2023/02/08","21:48","0.047","-","0.15"
"2023/02/08","21:54","0.037","-","0.16"
"2023/02/08","22:00","0.028","-","0.14"
"2023/02/08","22:06","0.022","-","0.09"
"2023/02/08","22:12","0.016","-","0.11"
"2023/02/08","22:18","0.013","-","0.1"
"2023/02/08","22:24","0.011","-","0.08"
"2023/02/08","22:30","0.01","-","0.08"
"2023/02/08","22:36","0.012","-","0.1"
"2023/02/08","22:42","0.015","-","0.09"
"2023/02/08","22:48","0.019","-","0.08"
"2023/02/08","22:54","0.025","-","0.08"
"2023/02/08","23:00","0.033","-","0.1"
