date_time,site,variable,value
2022-10-10T05:50:00Z,Kalauhaihai,temp_celsius,25.84
2022-10-10T06:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.52
2022-10-10T06:00:00Z,Kalauhaihai,temp_celsius,25.84
2022-10-10T06:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.31
2022-10-10T06:10:00Z,Kalauhaihai,temp_celsius,25.82
2022-10-10T06:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.44
2022-10-10T06:20:00Z,Kalauhaihai,temp_celsius,25.8
2022-10-10T06:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.65
2022-10-10T06:30:00Z,Kalauhaihai,temp_celsius,25.8
2022-10-10T06:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.4
2022-10-10T06:40:00Z,Kalauhaihai,temp_celsius,25.78
2022-10-10T06:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.37
2022-10-10T06:50:00Z,Kalauhaihai,temp_celsius,25.78
2022-10-10T07:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.45
2022-10-10T07:00:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.53
2022-10-10T07:10:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.59
2022-10-10T07:20:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T07:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.53
2022-10-10T07:30:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.42
2022-10-10T07:40:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.56
2022-10-10T07:50:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.51
2022-10-10T08:00:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.45
2022-10-10T08:10:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.33
2022-10-10T08:20:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.41
2022-10-10T08:30:00Z,Kalauhaihai,temp_celsius,25.72
2022-10-10T08:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.38
2022-10-10T08:40:00Z,Kalauhaihai,temp_celsius,25.72
2022-10-10T08:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.71
2022-10-10T08:50:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T09:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.75
2022-10-10T09:00:00Z,Kalauhaihai,temp_celsius,25.78
2022-10-10T09:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.27
2022-10-10T09:10:00Z,Kalauhaihai,temp_celsius,25.82
2022-10-10T09:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.38
2022-10-10T09:20:00Z,Kalauhaihai,temp_celsius,25.84
2022-10-10T09:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.69
2022-10-10T09:30:00Z,Kalauhaihai,temp_celsius,25.92
2022-10-10T09:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.47
2022-10-10T09:40:00Z,Kalauhaihai,temp_celsius,25.96
2022-10-10T09:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.43
2022-10-10T09:50:00Z,Kalauhaihai,temp_celsius,26.04
2022-10-10T10:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.52
2022-10-10T10:00:00Z,Kalauhaihai,temp_celsius,26.1
2022-10-10T10:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.75
2022-10-10T10:10:00Z,Kalauhaihai,temp_celsius,26.16
2022-10-10T10:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.98
2022-10-10T10:20:00Z,Kalauhaihai,temp_celsius,26.22
2022-10-10T10:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.94
2022-10-10T10:30:00Z,Kalauhaihai,temp_celsius,26.28
2022-10-10T10:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.99
2022-10-10T10:40:00Z,Kalauhaihai,temp_celsius,26.36
2022-10-10T10:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.15
2022-10-10T10:50:00Z,Kalauhaihai,temp_celsius,26.44
2022-10-10T11:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.23
2022-10-10T11:00:00Z,Kalauhaihai,temp_celsius,26.48
2022-10-10T11:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.3
2022-10-10T11:10:00Z,Kalauhaihai,temp_celsius,26.54
2022-10-10T11:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.29
2022-10-10T11:20:00Z,Kalauhaihai,temp_celsius,26.56
2022-10-10T11:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.37
2022-10-10T11:30:00Z,Kalauhaihai,temp_celsius,26.56
2022-10-10T11:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.37
2022-10-10T11:40:00Z,Kalauhaihai,temp_celsius,26.6
2022-10-10T11:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.82
2022-10-10T11:50:00Z,Kalauhaihai,temp_celsius,26.68
2022-10-10T12:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.66
2022-10-10T12:00:00Z,Kalauhaihai,temp_celsius,26.7
2022-10-10T12:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.78
2022-10-10T12:10:00Z,Kalauhaihai,temp_celsius,26.7
2022-10-10T12:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.78
2022-10-10T12:20:00Z,Kalauhaihai,temp_celsius,26.74
2022-10-10T12:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.62
2022-10-10T12:30:00Z,Kalauhaihai,temp_celsius,26.76
2022-10-10T12:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.99
2022-10-10T12:40:00Z,Kalauhaihai,temp_celsius,26.78
2022-10-10T12:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,1.54
2022-10-10T12:50:00Z,Kalauhaihai,temp_celsius,26.8
2022-10-10T13:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,2.15
2022-10-10T13:00:00Z,Kalauhaihai,temp_celsius,26.84
2022-10-10T13:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,2.21
2022-10-10T13:10:00Z,Kalauhaihai,temp_celsius,26.88
2022-10-10T13:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,2.33
2022-10-10T13:20:00Z,Kalauhaihai,temp_celsius,26.9
2022-10-10T13:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,2.16
2022-10-10T13:30:00Z,Kalauhaihai,temp_celsius,26.96
2022-10-10T13:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,2.37
